,episode,total_reward
524,524,-31.783999999999992
525,525,-32.033000000000015
526,526,-32.281000000000006
527,527,-32.53
528,528,-32.78
529,529,-332.98199999999997
530,530,-12163.921999999997
531,531,-333.586
532,532,-33.68700000000001
533,533,-9826.841000000004
534,534,-34.397999999999996
535,535,-34.646000000000015
536,536,-34.89500000000001
537,537,-35.144000000000005
538,538,-335.346
539,539,-35.44800000000001
540,540,-335.65
541,541,-335.73900000000003
542,542,-335.829
543,543,-35.93100000000001
544,544,-36.18000000000001
545,545,-36.429
546,546,-36.678
547,547,-36.92699999999999
548,548,-37.17500000000001
549,549,-37.423
550,550,-37.672
551,551,-37.92099999999999
552,552,-38.13499999999999
553,553,-38.388000000000005
554,554,-38.635999999999996
555,555,-38.884000000000015
556,556,-39.132000000000005
557,557,-39.379999999999995
558,558,-39.628000000000014
559,559,-39.876000000000005
560,560,-40.123999999999995
561,561,-40.372000000000014
562,562,-40.620000000000005
563,563,-40.869
564,564,-41.117999999999995
565,565,-41.36699999999999
566,566,-41.616000000000014
567,567,-41.864000000000004
568,568,-42.113
569,569,-42.327
570,570,-42.578
571,571,-42.827
572,572,-43.07599999999999
573,573,-43.32500000000002
574,574,-43.57400000000001
575,575,-43.82300000000001
576,576,-44.071
577,577,-44.31999999999999
578,578,-44.56900000000002
579,579,-44.783000000000015
580,580,-344.98699999999997
581,581,-45.087999999999994
582,582,-45.33699999999999
583,583,-45.58500000000001
584,584,-45.83500000000001
585,585,-46.084
586,586,-46.298
587,587,-46.515000000000015
588,588,-46.765000000000015
589,589,-47.015000000000015
590,590,-47.26400000000001
591,591,-47.513000000000005
592,592,-47.762
593,593,-48.010999999999996
594,594,-48.25999999999999
595,595,-48.509000000000015
596,596,-48.75800000000001
597,597,-49.007000000000005
598,598,-49.256
599,599,-49.50399999999999
600,600,-49.753000000000014
601,601,-49.96700000000001
602,602,-50.182000000000016
603,603,-50.43100000000001
604,604,-50.68000000000001
605,605,-50.929
606,606,-51.178
607,607,-51.428
608,608,-51.676000000000016
609,609,-51.92500000000001
610,610,-52.17400000000001
611,611,-52.388000000000005
612,612,-52.64500000000001
613,613,-52.89500000000001
614,614,-53.144000000000005
615,615,-53.393
616,616,-53.641999999999996
617,617,-53.89099999999999
618,618,-54.140000000000015
619,619,-54.38900000000001
620,620,-54.637
621,621,-54.885999999999996
622,622,-55.13499999999999
623,623,-55.384000000000015
624,624,-55.63300000000001
625,625,-55.84700000000001
626,626,-56.10900000000001
627,627,-56.357
628,628,-56.60499999999999
629,629,-56.85300000000001
630,630,-57.101
631,631,-57.34899999999999
632,632,-57.59700000000001
633,633,-57.845
634,634,-58.093999999999994
635,635,-58.34299999999999
636,636,-58.59200000000001
637,637,-58.84100000000001
638,638,-59.089
639,639,-359.291
640,640,-13147.381000000001
641,641,-11748.103000000003
642,642,-360.38300000000004
643,643,-360.472
644,644,-60.57400000000001
645,645,-60.82300000000001
646,646,-61.072
647,647,-61.321
648,648,-61.56900000000002
649,649,-61.783000000000015
650,650,-62.045000000000016
651,651,-62.295000000000016
652,652,-62.543000000000006
653,653,-62.791
654,654,-63.03999999999999
655,655,-63.28800000000001
656,656,-63.536
657,657,-63.78399999999999
658,658,-64.03200000000001
659,659,-64.28
660,660,-64.52799999999999
661,661,-64.77600000000001
662,662,-65.024
663,663,-65.27199999999999
664,664,-65.52000000000001
665,665,-65.768
666,666,-66.017
667,667,-66.231
668,668,-66.446
669,669,-66.695
670,670,-66.94400000000002
671,671,-67.19300000000001
672,672,-67.441
673,673,-67.69
674,674,-67.939
675,675,-68.189
676,676,-68.43700000000001
677,677,-68.686
678,678,-68.9
679,679,-369.147
680,680,-69.24799999999999
681,681,-69.49700000000001
682,682,-69.74600000000001
683,683,-69.994
684,684,-70.243
685,685,-70.49199999999999
686,686,-70.70600000000002
687,687,-70.922
688,688,-71.173
689,689,-71.42600000000002
690,690,-71.67500000000001
691,691,-71.924
692,692,-72.173
693,693,-72.422
694,694,-72.67099999999999
695,695,-72.92000000000002
696,696,-73.16900000000001
697,697,-73.418
698,698,-73.667
699,699,-73.91499999999999
700,700,-74.16400000000002
701,701,-74.41300000000001
702,702,-74.662
703,703,-74.876
704,704,-75.09300000000002
705,705,-75.34200000000001
706,706,-75.59
707,707,-75.838
708,708,-76.08600000000001
709,709,-76.334
710,710,-76.582
711,711,-76.83000000000001
712,712,-77.07900000000001
713,713,-77.327
714,714,-77.576
715,715,-77.826
716,716,-78.07500000000002
717,717,-78.28900000000002
718,718,-78.50399999999999
719,719,-78.75200000000001
720,720,-79.0
721,721,-79.24799999999999
722,722,-79.49600000000001
723,723,-79.745
724,724,-79.994
725,725,-80.24199999999999
726,726,-80.49100000000001
727,727,-380.693
728,728,-380.783
729,729,-13482.124999999998
730,730,-81.34700000000001
731,731,-81.596
732,732,-81.845
733,733,-82.09300000000002
734,734,-82.34200000000001
735,735,-82.55600000000001
736,736,-82.775
737,737,-83.024
738,738,-83.27199999999999
739,739,-83.52000000000001
740,740,-83.768
741,741,-84.01599999999999
742,742,-84.26400000000001
743,743,-84.512
744,744,-84.75999999999999
745,745,-85.00800000000001
746,746,-85.256
747,747,-85.505
748,748,-85.75399999999999
749,749,-86.00300000000001
750,750,-86.219
751,751,-386.421
752,752,-86.52199999999999
753,753,-86.77000000000001
754,754,-16938.749
755,755,-87.499
756,756,-87.713
757,757,-87.939
758,758,-88.18800000000002
759,759,-88.43700000000001
760,760,-88.686
761,761,-88.935
762,762,-89.184
763,763,-89.43299999999999
764,764,-89.68200000000002
765,765,-89.93100000000001
766,766,-90.18
767,767,-90.429
768,768,-90.678
769,769,-90.92699999999999
770,770,-91.17600000000002
771,771,-91.42500000000001
772,772,-91.674
773,773,-91.923
774,774,-92.172
775,775,-92.42099999999999
776,776,-92.66900000000001
777,777,-92.918
778,778,-93.132
779,779,-93.386
780,780,-93.63499999999999
781,781,-93.88400000000001
782,782,-94.13300000000001
783,783,-94.382
784,784,-94.631
785,785,-94.88
786,786,-95.12899999999999
787,787,-95.37800000000001
788,788,-95.62700000000001
789,789,-95.87700000000001
790,790,-96.126
791,791,-96.374
792,792,-96.62299999999999
793,793,-96.87100000000001
794,794,-97.12100000000001
795,795,-97.33500000000001
796,796,-97.596
797,797,-97.83100000000002
798,798,-98.08000000000001
799,799,-98.32900000000001
800,800,-98.578
801,801,-98.827
802,802,-99.076
803,803,-99.32500000000002
804,804,-99.57400000000001
805,805,-99.82300000000001
806,806,-100.072
807,807,-100.321
808,808,-100.57
809,809,-100.81900000000002
810,810,-101.06800000000001
811,811,-101.31700000000001
812,812,-101.565
813,813,-101.814
814,814,-402.05100000000004
815,815,-102.15200000000002
816,816,-102.41400000000002
817,817,-102.66300000000001
818,818,-102.912
819,819,-103.161
820,820,-103.41
821,821,-103.65899999999999
822,822,-103.90800000000002
823,823,-104.15700000000001
824,824,-104.37100000000001
825,825,-104.63
826,826,-104.87899999999999
827,827,-105.12899999999999
828,828,-105.37800000000001
829,829,-105.62800000000001
830,830,-105.87700000000001
831,831,-106.126
832,832,-106.375
833,833,-106.624
834,834,-106.87200000000001
835,835,-107.12100000000001
836,836,-107.37
837,837,-107.619
838,838,-407.821
839,839,-17383.466
