,vehicle_id,time,input acceleration,desire acceleration
208,car.rightrear1,0.19,0.5271782594050347,0.5271782594050347
209,car.forward,0.2,0.0,0.0
210,car.leftforward0,0.2,-1.0,-1.0
211,car.leftforward1,0.2,-0.09162475591814073,-0.09162475591814073
212,car.leftforward2,0.2,0.0,0.0
213,car.leftrear0,0.2,0.5531260114620717,0.5531260114620717
214,car.leftrear1,0.2,0.958995060810494,0.958995060810494
215,car.rightforward0,0.2,0.06758537422961342,0.06758537422961342
216,car.rightforward1,0.2,-1.0,-1.0
217,car.rightforward2,0.2,0.0,0.0
218,car.rightrear0,0.2,-1.0,-1.0
219,car.rightrear1,0.2,0.5229719312770905,0.5229719312770905
220,car.forward,0.21,0.0,0.0
221,car.leftforward0,0.21,-1.0,-1.0
222,car.leftforward1,0.21,-0.09080645445904151,-0.09080645445904151
223,car.leftforward2,0.21,0.0,0.0
224,car.leftrear0,0.21,0.5550613427871033,0.5550613427871033
225,car.leftrear1,0.21,0.9438069397778042,0.9438069397778042
226,car.rightforward0,0.21,0.060438987953794626,0.060438987953794626
227,car.rightforward1,0.21,-1.0,-1.0
228,car.rightforward2,0.21,0.0,0.0
229,car.rightrear0,0.21,-1.0,-1.0
230,car.rightrear1,0.21,0.5187506421249761,0.5187506421249761
231,car.forward,0.22,0.0,0.0
232,car.leftforward0,0.22,-1.0,-1.0
233,car.leftforward1,0.22,-0.08999328986482064,-0.08999328986482064
234,car.leftforward2,0.22,0.0,0.0
235,car.leftrear0,0.22,0.5568858689842274,0.5568858689842274
236,car.leftrear1,0.22,0.9287089965461958,0.9287089965461958
237,car.rightforward0,0.22,0.0533321174236942,0.0533321174236942
238,car.rightforward1,0.22,-1.0,-1.0
239,car.rightforward2,0.22,0.0,0.0
240,car.rightrear0,0.22,-1.0,-1.0
241,car.rightrear1,0.22,0.5145146904276361,0.5145146904276361
242,car.forward,0.23,0.0,0.0
243,car.leftforward0,0.23,-1.0,-1.0
244,car.leftforward1,0.23,-0.08918523474911418,-0.08918523474911418
245,car.leftforward2,0.23,0.0,0.0
246,car.leftrear0,0.23,0.5586007995558626,0.5586007995558626
247,car.leftrear1,0.23,0.9137007667953816,0.9137007667953816
248,car.rightforward0,0.23,0.04626456898970624,0.04626456898970624
249,car.rightforward1,0.23,-1.0,-1.0
250,car.rightforward2,0.23,0.0,0.0
251,car.rightrear0,0.23,-1.0,-1.0
252,car.rightrear1,0.23,0.5102643720853933,0.5102643720853933
253,car.forward,0.24,0.0,0.0
254,car.leftforward0,0.24,-1.0,-1.0
255,car.leftforward1,0.24,-0.08838226185608901,-0.08838226185608901
256,car.leftforward2,0.24,0.0,0.0
257,car.leftrear0,0.24,0.5602073345906113,0.5602073345906113
258,car.leftrear1,0.24,0.8987817883564555,0.8987817883564555
259,car.rightforward0,0.24,0.03923614986136795,0.03923614986136795
260,car.rightforward1,0.24,-1.0,-1.0
261,car.rightforward2,0.24,0.0,0.0
262,car.rightrear0,0.24,-1.0,-1.0
263,car.rightrear1,0.24,0.505999980437047,0.505999980437047
